ID,Title,Final Decision,Year,Evaluator1,Evaluator2,Evaluator3,E1=E2?,Judge reason,Acronym,Venue_name,Authors
A1,Automatic analysis of firewall and network intrusion detection system configurations,Exclude,2004,Exclude,Exclude,,TRUE,"The paper analyzes deployed network configurations (e.g., Cisco PIX firewall rules and NIDS specifications) and explicitly targets operators/security administrators with runtime checking, NIDS placement, rule reduction and verification of detection policies in running networks.",CCS,ACM Conference on Computer and Communications Security,Tom; E. Uribe; Steven Cheung
A2,Dynamic configuration of resource-aware services,Exclude,2004,Exclude,Exclude,,TRUE,This work addresses automatic runtime configuration optimization under changing resource conditions rather than diagnosing and fixing configuration failures encountered by users after deployment.,ICSE,International Conference on Software Engineering,Vahe Poladian; João Pedro Sousa; David Garlan; Mary Shaw
A3,An open framework for dynamic reconfiguration,Exclude,2004,Exclude,Exclude,,TRUE,This work addresses safe runtime system evolution through dynamic reconfiguration frameworks rather than diagnosing and fixing configuration failures encountered in deployed systems.,ICSE,International Conference on Software Engineering,Jamie Hillman; Ian Warren
A4,"An experimental, pluggable infrastructure for modular configuration management policy composition",Exclude,2004,Exclude,Exclude,,TRUE,"The paper focuses on the architecture and construction of Software Configuration Management (SCM) systems (i.e., version control tools like CVS and Subversion) rather than troubleshooting runtime misconfigurations in deployed operational systems.",ICSE,International Conference on Software Engineering,Ronald van der Lingen; André van der Hoek
A5,Covering arrays for efficient fault characterization in complex configuration spaces,Exclude,2004,Exclude,Exclude,,TRUE,"The study is explicitly about post-deployment, runtime fault characterization: it runs tests on deployed systems (ACE+TAO) on Linux and Windows and on remote user sites, analyzes runtime configuration options, and delivers models to developers. The actors and artifacts are operational (remote clients, fielded systems, runtime options/configurations), not design-time variability models. The scope is software bug.",ISSTA,International Symposium on Software Testing and Analysis,Cemal Yilmaz; Myra B. Cohen; Adam A. Porter
A6,Method configuration: adapting to situational characteristics while creating reusable assets,Exclude,2004,Exclude,Exclude,,TRUE,The paper explicitly targets post-deployment diagnosis of misconfigurations in running BGP networks: operators/administrators use a Diagnosis Engine that queries vendor-specific router configurations (stored in a central DB) and checks them against high-level service requirements. Network is not in our scope.,IST,Information and Software Technology,Fredrik Karlsson; Pär J. Ågerfalk
A7,Configuration Debugging as Search: Finding the Needle in the Haystack,Include,2004,Include,Include,,TRUE,"The paper explicitly targets post-deployment troubleshooting: it helps system administrators/troubleshooters diagnose configuration errors in deployed/running systems by booting historical VM snapshots from a time-travel disk and pinpointing when the system transitioned to a failing state, analyzing real system artifacts such as /etc, sshd keys, Apache, and browser profiles.",OSDI,USENIX Symposium on Operating Systems Design and Implementation,Andrew Whitaker; Richard S. Cox; Steven D. Gribble
A8,Automatic Misconfiguration Troubleshooting with PeerPressure,Include,2004,Include,Include,,TRUE,"The paper studies troubleshooting of deployed, running desktop systems by users/technical support, analyzing Windows Registry snapshots and traces from 'sick' machines; it explicitly addresses post-deployment diagnosis and repair of misconfigurations using real-machine samples. The actors are operators/users (troubleshooting users) and the artifact is operational config data (Windows Registry and configuration snapshots), not design-time models.",OSDI,USENIX Symposium on Operating Systems Design and Implementation,Helen J. Wang; John C. Platt; Yu Chen; Ruyun Zhang; Yi-Min Wang
A9,"Strider: a black-box, state-based approach to change and configuration management and support",Include,2004,Include,Include,,TRUE,"The paper explicitly studies post-deployment, runtime troubleshooting of configuration failures on deployed Windows machines, using state differencing and tracing of the Windows Registry and framing users/support engineers as the actors performing diagnosis. It focuses on live, operational artifacts (Registry entries, checkpoints, traces) rather than design-time configuration modeling.",SCP,Science of Computer Programming,Yi Min Wang; Chad Verbowski; John Dunagan; Yu Chen; Helen J. Wang; Chun Yuan; Zheng Zhang
A10,On observed reproducibility in network configuration management,Exclude,2004,Exclude,Exclude,,TRUE,"The paper explicitly addresses post-deployment configuration management on running hosts and the actions of administrators/operators, analyzing how latent preconditions in real artifacts (e.g., /etc/inetd.conf, /etc/hosts.allow, network drivers) cause inconsistent effects across deployed systems.",SCP,Science of Computer Programming,Alva Couch; Yizhan Sun
A11,Using service grammar to diagnose BGP configuration errors,Exclude,2004,Include,Exclude,Exclude,FALSE,"The paper targets post-deployment operational diagnosis: administrators/operators use a Diagnosis Engine to check vendor-specific, deployed router configurations (parsed from a central DB/LDAP) and runtime BGP neighbor/session and policy behaviors to locate misconfigurations. The artifacts and actors are explicitly operational (router configs, BGP sessions, network operators), not design-time models. Network is not in our scope.",SCP,Science of Computer Programming,Xiaohu Qie; Sanjai Narain
A12,Flexible XML©\based configuration of physical simulations,Exclude,2004,Exclude,Exclude,,TRUE,"The paper focuses on the design and implementation of an XML-based configuration schema for a robotic simulation environment, rather than on detecting, diagnosing, or troubleshooting misconfigurations in a deployed system.",SPE,Software Practice and Experience,Richard Sunderland; R.I. Damper; Richard Crowder
A13,Understanding Web server configuration issues,Exclude,2004,Exclude,Exclude,,TRUE,"The paper experimentally studies running Web servers in a LAN testbed and analyses how runtime system and Apache application configuration parameters affect operational performance, explicitly targeting system administrators and performance analysts and using real logs/metrics from deployed servers.",SPE,Software Practice and Experience,Martin Arlitt; Carey Williamson
A14,Dynamic reconfiguration of CPU and WebSphere on IBM pSeries servers,Exclude,2004,Exclude,Exclude,,TRUE,The paper focuses on the performance characterization of dynamic hardware resource reallocation (,SPE,Software Practice and Experience,Joefon Jann; Niteesh Dubey; R. Sarma Burugula; Pratap Pattnaik
