Software,Link,Description,Year,Last Modified
Apache httpd,https://stackoverflow.com/questions/119336,ssl_error_rx_record_too_long and Apache SSL [closed],2008,2022
Apache httpd,https://stackoverflow.com/questions/60213/why-wont-my-local-apache-open-html-pages,"so, I'm running Apache on my laptop. If I go to ""localhost"", I get the page that says, If you can see this, it means that the installation of the Apache web server software on this system was successf...",2008,2012
Apache httpd,https://stackoverflow.com/questions/40133/getting-apache-to-modify-static-webpages-on-the-fly,I have been experimenting with woopra.com A web analytics tool. Which requires a piece of javascript code to be added to each page to function. This is easy enough with more dynamic sites with univers...,2008,2020
Apache httpd,https://stackoverflow.com/questions/91086/why-easyphp-stop-all-apache-processes-on-severals-pc,"on some Windows PC, when I have both easyPHP and a standalone apache service configured on another network port and with a specific service name, I have a problem : when I stop easyphp, the other apac...",2008,2008
Apache httpd,https://stackoverflow.com/questions/105754/best-practices-for-configuring-apache-tomcat,We are currently using Apache 2.2.3 and Tomcat 5 (Embedded in JBoss 4.2.2) using mod_proxy_jk as the connector. Can someone shed some light on the the correct way to calculate / configure the values b...,2008,2019
Apache httpd,https://stackoverflow.com/questions/133136/what-is-the-best-way-to-configure-iplanet-sun-one-be-the-http-https-front-end-to,What is the best way to configure iPlanet/Sun ONE be the HTTP/HTTPS front end to a JBoss/Tomcat application? Are there any performance considerations? How would this compare with the native integratio...,2008,2012
Apache httpd,https://stackoverflow.com/questions/148838/how-do-i-configure-apache-2-2-for-ruby-on-rails-in-windows,"I'm trying to get started writing some Ruby on Rails apps and have been successful with Mongrel but, I'd like to deploy my apps to my Apache 2.2 instance on Windows? All the tutorials I've found seem ...",2008,2015
Apache httpd,https://stackoverflow.com/questions/163603/apache-sockets-not-closing,"I have a web application written using CherryPy, which is run locally on 127.0.0.1:4321 . We use mod-rewrite and mod-proxy to have Apache act as a reverse proxy; Apache also handles our SSL encryption...",2008,2008
Apache httpd,https://stackoverflow.com/questions/198564/how-to-configure-apache-to-work-as-proxy-load-balancer-for-j2ee-server,I have apache web server installed as frontend and I have j2ee SAP Netweaver Application Server installed in Intranet server. How can I configure apache to forward requests and response to/from j2ee a...,2008,2012
Apache httpd,https://stackoverflow.com/questions/213483/a-good-multithreaded-python-webserver,I am looking for a python webserver which is multithreaded instead of being multi-process (as in case of mod_python for apache). I want it to be multithreaded because I want to have an in memory objec...,2008,2014
Apache httpd,https://stackoverflow.com/questions/216092/reloading-a-fastcgi-app,"I'm using FastCGI to expose a C++ binary (written using the Wt framework) as a web app. However, after I have modified the app and recompiled it, in order for new sessions to see the changes (active s...",2008,2008
Apache httpd,https://stackoverflow.com/questions/223901/how-do-you-configure-apache-on-windows-for-ssl,Apache just fails to start with NO error message when we try to reboot it after enabling the code for the ssl module. NOTE: I was able to use OpenSSL to generate a request and have a legit wildcard ce...,2008,2008
Apache httpd,https://stackoverflow.com/questions/243071/websphere-portal-v-5-1-and-ajp,"is there a way to configure WebSphere Portal to accept AJP connections? E.g. Tomcat/JBoss and Oracle have a specific AJP port. I can't find it in WebSphere, and I'm getting tired of Googlin' around IB...",2008,2009
Apache httpd,https://stackoverflow.com/questions/264454/configure-webserver80-to-direct-a-domain-name-request-to-a-different-running-we,I run Jetty6 yet gladly place Apache in the front if needs be. I would like to have two webserver instances running on the same machine on different ports. I would like the instance on port 80 to redi...,2008,2008
Apache httpd,https://stackoverflow.com/questions/274638/config-vars-mk-missing-in-default-xampp-linux-installation,I extracted the xampp package xampp-linux-1.6.7 on a Ubuntu 8.10 system and followed the instuctions from mod_wsgi documentation. I get the error below: ravi@Ibex:~/mod_wsgi-2.3$ ./configure --with-ap...,2008,2017
